taskID,trialIndex,trialStart,trialEnd,RT,choice,correct,initDirection,endDirection,presenceCP,coherence,viewingDuration,probCP,timeCP,randSeedBase,fixationOn,fixationStart,targetOn,dotsOn,dotsOff,choiceTime,targetOff,fixationOff,feedbackOn,numFrames,tocDotsOn,tocDotsOff
2,295,1211970.42351545,1211973.77101894,0.470389794791117,0,1,0,180,1,36,0.5,0.5,0.2,8112,0.130079335300252,NaN,0.774147131945938,1.18092679302208,1.72029168461449,2.19068147940561,NaN,NaN,NaN,37,1.164238964,1.68793153
2,616,1211973.77371991,1211977.01004114,0.490989056415856,1,0,180,180,0,12,0.2,0.5,0.2,8425,0.132781688123941,NaN,0.759900332195684,1.37006982369348,1.5895244916901,2.08051354810596,NaN,NaN,NaN,18,1.3492283,1.557097623
2,63,1211977.01280862,1211980.1110069,0.831906713545322,1,1,0,0,0,12,0.1,0.5,0.2,2854,0.130559666315094,NaN,0.77462746296078,0.994988062651828,1.1136321304366,1.94553884398192,NaN,NaN,NaN,13,0.970437915,1.086935756
2,246,1211980.11379316,1211983.16507002,0.718978724908084,1,0,180,180,0,24,0.1,0.5,0.2,1373,0.147711230441928,NaN,0.740931569365785,1.06296546757221,1.18160953558981,1.9005882604979,NaN,NaN,NaN,12,1.043924097,1.155235232
2,514,1211983.1677891,1211987.63428045,1.0384449812118,0,1,180,180,0,48,0.3,0.5,0.2,5911,0.127613730030134,NaN,0.754732373869047,1.95812220452353,2.28015610272996,3.31860108394176,NaN,NaN,NaN,25,1.94018291,2.254761652
2,569,1211987.63709224,1211991.67492717,0.637675066711381,0,0,0,0,0,24,0.3,0.5,0.2,5782,0.132885196246207,NaN,0.726105535170063,1.94644451816566,2.25152926403098,2.88920433074236,NaN,NaN,NaN,24,1.918874125,2.222451291
2,129,1211991.67768925,1211994.57622453,0.507735510589555,0,0,0,0,0,48,0.1,0.5,0.2,2043,0.126186915440485,NaN,0.770254712086171,1.12618691544048,1.24483098322526,1.75256649381481,NaN,NaN,NaN,12,1.106808601,1.217492924
2,467,1211994.5788515,1211997.87817145,0.676281047752127,0,1,0,180,1,60,0.4,0.5,0.2,9050,0.12329182587564,NaN,0.767359622521326,1.0554952158127,1.47922402922995,2.15550507698208,NaN,NaN,NaN,31,1.029720359,1.454256682
2,25,1211997.88080322,1212000.9668339,0.662536773830652,1,1,0,0,0,0,0.3,0.5,0.2,9703,0.143412838689983,NaN,0.719684025039896,0.973921313183382,1.2790060590487,1.94154283287935,NaN,NaN,NaN,24,0.946443596,1.252893497
2,607,1212000.96947948,1212004.60291134,1.06531892716885,0,0,0,0,0,36,0.1,0.5,0.2,8029,0.122416640864685,NaN,0.715636979788542,1.30885731894523,1.42750138673,2.49282031389885,NaN,NaN,NaN,12,1.291391823,1.400098938
